"competencia","cnes","nome_estabelecimento","cod_municipio","municipio","uf","tipo_estabelecimento","subtipo_estabelecimento","natureza_juridica","gestao","atende_sus","codigo_habilitacao","tipo_habilitacao","descricao_habilitacao","origem_habilitacao","linha_cuidado","sublinha_cuidado","componente_rede","nivel_complexidade","usar_observatorio","prioridade","criterio_classificacao","status_validacao","competencia_inicio","competencia_fim","numero_leitos","portaria","data_atualizacao","fonte","arquivo_origem","data_processamento"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2422","H","TRANSPLANTE DE TECIDO MÚSCULO ESQUELÉTICO","","Outras habilitações estratégicas","A definir","A definir","Média/Alta","Sim","Média","Descrição indica habilitação estratégica fora das linhas centrais iniciais.","revisar","042018","052028","","1668/SAES/MS","24/06/2024","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2408","H","TRANSPLANTE DE RIM","","Outras habilitações estratégicas","A definir","A definir","Média/Alta","Sim","Média","Descrição indica habilitação estratégica fora das linhas centrais iniciais.","revisar","112013","022029","","SAES/MS 2584","11/03/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2446","H","INCREMENTO FINANCEIRO SNT RIM NIVEL A","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","092023","999999","","766/SAES/MS","05/10/2023","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2420","H","RETIRADA DE ORGAOS E TECIDOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122010","082027","","SAES/MS 3111","15/08/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2451","H","INCREMENTO FINANCEIRO SNT FIGADO NIVEL A","","Fora do escopo inicial","Não aplicável","Não aplicável","Não definido","Não","Baixa","Sem correspondência direta com escopo estratégico inicial do Ciclo 1.","revisar","122025","999999","","3538/SAES/MS","23/12/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2409","H","TRANSPLANTE DE FIGADO","","Outras habilitações estratégicas","A definir","A definir","Média/Alta","Sim","Média","Descrição indica habilitação estratégica fora das linhas centrais iniciais.","revisar","052002","052028","","1668/SAES/MS","20/05/2024","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","1204","H","HOSPITAL DIA EM INTERCORRENCIAS POS - TRANSPLANTE DE MEDULA OSSEA E DE OUTROS PRECURSORES HEMATOPOETICOS","","Outras habilitações estratégicas","A definir","A definir","Média/Alta","Sim","Média","Descrição indica habilitação estratégica fora das linhas centrais iniciais.","revisar","122023","999999","","1125/SAES/MS","20/12/2023","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2401","H","TRANSPLANTE DE CELULAS PROGENITORAS HEMATOPOETICAS AUTOLOGO","","Outras habilitações estratégicas","A definir","A definir","Média/Alta","Sim","Média","Descrição indica habilitação estratégica fora das linhas centrais iniciais.","revisar","102023","082027","","SAES/MS 3111","15/08/2025","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","2601","H","UNIDADE DE TERAPIA INTENSIVA ADULTO - UTI-A TIPO II","","UTI / cuidado crítico","UTI adulto","UTI adulto","Alta complexidade","Sim","Alta","Descrição contém UTI adulto.","validado","122004","999999","6","PT GM 1905","24/07/2019","CNES","rlEstabSipac202601","2026-05-21"
"202601","3201302494450","HOSPITAL MERIDIONAL","320130","CARIACICA","ES",NA,NA,"SOCIEDADE ANONIMA FECHADA",NA,"Sim","8273","I","UTI ADULTO RUE TIPO II - NOVOS","","RUE","UTI RUE adulto","Leito crítico RUE","Média/Alta","Sim","Alta","Descrição inequívoca de UTI adulto RUE tipo II/III.","validado","082019","999999","3","474/SAES/MS","10/06/2021","CNES","rlEstabSipac202601","2026-05-21"
