"CO_TIPO_UNIDADE";"CO_SUB_TIPO";"DS_SUB_TIPO"
"07";"001";"PEDIATRIA"
"07";"002";"CARDIOLOGIA"
"07";"003";"ORTOPEDIA"
"07";"004";"ONCOLOGIA"
"07";"005";"MATERNIDADE"
"07";"006";"PSIQUIATRIA"
"36";"001";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER)"
"36";"002";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER-II)"
"36";"003";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER-III)"
"36";"004";"CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER-IV)"
"36";"005";"CENTRO DE REFERÊNCIA EM SAÚDE DO TRABALHADOR CEREST"
"36";"006";"CEO-I"
"36";"007";"CEO-II"
"36";"008";"CEO-III"
"36";"009";"OUTROS"
"39";"003";"LABORATORIO REGIONAL DE PROTESE DENTARIA (LRPD)"
"40";"001";"UNIDADE MOVEL ODONTOLOGICA"
"40";"002";"CONSULTORIO ITINERANTE"
"50";"001";"UNIDADE DE VIGILANCIA DE ZOONOSES"
"67";"001";"PORTE I - NIVEL A"
"67";"002";"PORTE I - NIVEL B"
"67";"003";"PORTE I - NIVEL C"
"67";"004";"PORTE I - NIVEL D"
"67";"005";"PORTE I - NIVEL E"
"67";"006";"PORTE II - NIVEL A"
"67";"007";"PORTE II - NIVEL B"
"67";"008";"PORTE II - NIVEL C"
"67";"009";"PORTE II - NIVEL D"
"67";"010";"PORTE II - NIVEL E"
"67";"011";"PORTE III - NIVEL A"
"67";"012";"PORTE III - NIVEL B"
"67";"013";"PORTE III - NIVEL C"
"67";"014";"PORTE III - NIVEL D"
"67";"015";"PORTE III - NIVEL E"
"67";"016";"PORTE IV - NIVEL A"
"67";"017";"PORTE IV - NIVEL B"
"67";"018";"PORTE IV - NIVEL C"
"67";"019";"PORTE IV - NIVEL D"
"67";"020";"PORTE IV - NIVEL E"
"67";"021";"PORTE V - NIVEL A"
"67";"022";"PORTE V - NIVEL B"
"67";"023";"PORTE V - NIVEL C"
"67";"024";"PORTE V - NIVEL D"
"67";"025";"PORTE V - NIVEL E"
"68";"001";"SECRETARIA DE ESTADO DA SAUDE (SES)"
"68";"002";"REGIONAL DE SAUDE"
"68";"003";"SECRETARIA MUNICIPAL DE SAUDE (SMS)"
"68";"004";"DISTRITO SANITARIO"
"68";"005";"SEDE DE OPERADORA DE PLANO DE SAUDE"
"68";"006";"SEDE DE CONSORCIO PUBLICO NA AREA DE SAUDE"
"69";"001";"HEMOTERAPIA/HEMATOLOGIA-COORDENADOR"
"69";"002";"HEMOTERAPIA/HEMATOLOGIA-REGIONAL"
"69";"003";"HEMOTERAPIA/HEMATOLOGIA-NUCLEO"
"69";"004";"UNIDADE DE COLETA E TRANSFUSAO ¿ UCT"
"69";"005";"UNIDADE DE COLETA - UC"
"69";"006";"CENTRAL DE TRIAGEM LABORATORIAL DE DOADORES ¿ CTLD"
"69";"007";"AGENCIA TRANSFUSIONAL ¿ AT"
"70";"001";"CAPS I"
"70";"002";"CAPS II"
"70";"003";"CAPS III"
"70";"004";"CAPS INFANTO/JUVENIL"
"70";"005";"CAPS ALCOOL E DROGA"
"70";"006";"CAPS ALCOOL E DROGAS III - MUNICIPAL"
"70";"007";"CAPS ALCOOL E DROGAS III - REGIONAL"
"70";"008";"CAPS AD IV"
"72";"001";"CASA DE SAUDE INDIGENA (CASAI)"
"72";"002";"UNIDADE BASICA DE SAUDE INDIGENA (UBSI)"
"72";"003";"POLO BASE TIPO I - SEDE"
"72";"004";"POLO BASE TIPO II - SEDE"
"72";"005";"DISTRITO SANITARIO ESPECIAL INDIGENA (DSEI) - SEDE"
"73";"001";"PRONTO ATENDIMENTO GERAL"
"73";"002";"PRONTO ATENDIMENTO ESPECIALIZADO"
"73";"003";"UPA"
"75";"001";"NUCLEO TECNICO-CIENTIFICO PROG NAC TELESSAUDE BRASIL REDES"
"75";"002";"UNIDADE DE TELESSAUDE"
"76";"001";"ESTADUAL"
"76";"002";"REGIONAL"
"76";"003";"MUNICIPAL"
"80";"001";"LABORATORIO CENTRAL DE SAUDE PUBLICA (LACEN)"
"80";"002";"LABORATORIO FEDERAL"
"80";"003";"LABORATORIO ESTADUAL"
"80";"004";"LABORATORIO MUNICIPAL"
"81";"001";"AMBULATORIAL"
"81";"002";"INTERNACAO HOSPITALAR"
"81";"003";"AMBULATORIAL E DE INTERNACAO HOSPITALAR"
"81";"004";"ALTA COMPLEXIDADE E AMBULATORIAL"
"81";"005";"ALTA COMPLEXIDADE E INTERNACAO HOSPITALAR"
"81";"006";"ALTA COMPLEXIDADE, AMBULATORIAL E INTERNACAO HOSPITALAR"
"82";"001";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS SEDE"
"82";"002";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS REGIONAL"
"82";"003";"ORGANIZACAO DE PROCURA DE ORGAOS E TECIDOS"
