"codigo_habilitacao","tipo_habilitacao","descricao_habilitacao","origem_habilitacao","linha_cuidado","sublinha_cuidado","componente_rede","usar_observatorio","prioridade","status_validacao","n_registros","n_estabelecimentos","n_municipios","exemplos_cnes","exemplos_municipios","categoria_auditoria_escopo","recomendacao_auditoria"
"0913","S","ADESAO DO ESTABELECIMENTO AO PROJETO MAIS MÉDICOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",935,935,78,"3205012499517 | 3200602770091 | 3200607306156 | 3204207152809 | 3200602770148","SOORETAMA | ARACRUZ | PIUMA | VITORIA | VILA VELHA","Programático/incentivo","Manter fora do escopo"
"7111","C","ESTABELECIMENTO DE SAUDE SEM GERACAO DE CREDITO - EMULTI, EXCETO FAEC","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",139,139,51,"3203807007698 | 3200602924803 | 3205012499517 | 3201409912290 | 3200602770091","MUQUI | ARACRUZ | SOORETAMA | CASTELO | PIUMA","Programático/incentivo","Manter fora do escopo"
"1901","H","LAQUEADURA","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",42,42,35,"3205304044916 | 3204802547317 | 3201202485729 | 3201602483939 | 3203102447894","VITORIA | SAO JOSE DO CALCADO | CACHOEIRO DE ITAPEMIRIM | CONCEICAO DA BARRA | JERONIMO MONTEIRO","Potencial falso negativo","Revisar classificação no Ciclo 1"
"1902","H","VASECTOMIA","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",38,38,32,"3205304044916 | 3204802547317 | 3201602483939 | 3203102447894 | 3201902402882","VITORIA | SAO JOSE DO CALCADO | CONCEICAO DA BARRA | JERONIMO MONTEIRO | DOMINGOS MARTINS","Potencial falso negativo","Revisar classificação no Ciclo 1"
"6001","F","HOSPITAL FILANTROPICO","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",33,33,26,"3205202494442 | 3201202485680 | 3201202547821 | 3201202485729 | 3201902402882","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | DOMINGOS MARTINS | AFONSO CLAUDIO | PEDRO CANARIO","Componente hospitalar genérico","Manter fora do escopo"
"0915","S","ADESÃO DO ESTABELECIMENTO AO PROGRAMA NACIONAL DE APOIO A ATENCAO A SAÚDE DA PESSOA COM DEFICIÊNCIA (PRONAS/PCD)","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",32,32,26,"3200709877479 | 3200205274230 | 3202559747591 | 3200807228104 | 3204259233067","ATILIO VIVACQUA | ALEGRE | IBITIRAMA | BAIXO GUANDU | PONTO BELO","Programático/incentivo","Manter fora do escopo"
"3801","H","PROGRAMA MAIS ACESSO A ESPECIALISTAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",18,18,11,"3205202494442 | 3201202485680 | 3201202547821 | 3205300011746 | 3205304044916","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | VITORIA | LINHARES | CARIACICA","Programático/incentivo","Manter fora do escopo"
"8271","I","ENFERMARIA CLINICA DE RETAGUARDA - NOVOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",18,18,16,"3201202547821 | 3205304044916 | 3203102447894 | 3201902402882 | 3205002486199","CACHOEIRO DE ITAPEMIRIM | VITORIA | JERONIMO MONTEIRO | DOMINGOS MARTINS | SERRA","Componente hospitalar genérico","Manter fora do escopo"
"8272","I","ENFERMARIA CLINICA DE RETAGUARDA - QUALIFICADOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",16,16,15,"3205304044916 | 3203102447894 | 3201902402882 | 3205002486199 | 3200102402874","VITORIA | JERONIMO MONTEIRO | DOMINGOS MARTINS | SERRA | AFONSO CLAUDIO","Componente hospitalar genérico","Manter fora do escopo"
"3202","H","LABORATÓRIO DE EXAMES CITOPATOLOGICOS DO COLO DE UTERO - TIPO I","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",14,14,8,"3201202547821 | 3205300011746 | 3205304044916 | 3203202360063 | 3205300011738","CACHOEIRO DE ITAPEMIRIM | VITORIA | LINHARES | COLATINA | SERRA","Potencial falso negativo","Revisar classificação no Ciclo 1"
"2301","H","UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM TERAPIA NUTRICIONAL*","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",12,12,6,"3205202494442 | 3201202485680 | 3201202547821 | 3205300011746 | 3205304044916","VILA VELHA | CACHOEIRO DE ITAPEMIRIM | VITORIA | COLATINA | LINHARES","Outro tema futuro","Considerar como futura linha temática"
"2420","H","RETIRADA DE ORGAOS E TECIDOS","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",12,12,5,"3201302494450 | 3205202494442 | 3201202547821 | 3205300011746 | 3205304044916","CARIACICA | VILA VELHA | CACHOEIRO DE ITAPEMIRIM | VITORIA | SERRA","Transplantes","Revisar classificação no Ciclo 1"
"2902","H","PMAE - COMPONENTE CIRURGIAS","P","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",11,11,10,"3205202494442 | 3205300011746 | 3204802547317 | 3201602483939 | 3205002486199","VILA VELHA | VITORIA | SAO JOSE DO CALCADO | CONCEICAO DA BARRA | SERRA","Programático/incentivo","Manter fora do escopo"
"0403","H","CENTRO DE ESPECIALIDADES ODONTOLOGICAS I","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",10,10,9,"3205307160305 | 3204803878201 | 3201309053980 | 3200600156949 | 3205206744842","VITORIA | SAO JOSE DO CALCADO | CARIACICA | ARACRUZ | VILA VELHA","Potencial falso negativo","Revisar classificação no Ciclo 1"
"8212","I","Porta de Entrada Hospitalar de Urgência (PEHU) - Hospital Geral","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",10,10,10,"3201202547821 | 3204802547317 | 3201902402882 | 3205007257406 | 3203202465825","CACHOEIRO DE ITAPEMIRIM | SAO JOSE DO CALCADO | DOMINGOS MARTINS | SERRA | LINHARES","Componente hospitalar genérico","Manter fora do escopo"
"2304","H","ENTERAL E PARENTERAL","","Fora do escopo inicial","Não aplicável","Não aplicável","Não","Baixa","revisar",9,9,4,"3201202485680 | 3201202547821 | 3205300011746 | 3201202485729 | 3201502448521","CACHOEIRO DE ITAPEMIRIM | VITORIA | COLATINA | SERRA","Outro tema futuro","Considerar como futura linha temática"
