codigo_habilitacao;tipo_habilitacao;descricao_habilitacao;origem_habilitacao;linha_cuidado;sublinha_cuidado;componente_rede;nivel_complexidade;usar_observatorio;prioridade;fonte_cnes;fonte_normativa;criterio_classificacao;status_validacao;observacao
9201;R;PRE NATAL;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9202;R;PARTO E NASCIMENTO;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9203;R;PUERPERIO E ATENCAO INTEGRAL A SAUDE DA CRIANÇA;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8232;I;CEO-II - Rede de Cuidados à Pessoa com Deficiência;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9301;R;PROMOÇÃO PREVENÇÃO E VIGILANCIA A SAUDE;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9302;R;ATENÇÃO BASICA EM SAUDE;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9303;R;SERVIÇO DE ATENDIMENTO MOVEL (SAMU) E SUAS CENTRAIS DE REGULAÇÃO MEDICA DE URGENCIAS;;RUE;SAMU;Atendimento móvel de urgência;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém SAMU.;validado;"Classificação preliminar; revisar com base normativa específica."
9304;R;SALA DE ESTABILIZAÇÃO;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9305;R;FORÇA NACIONAL DE SAUDE DO SUS;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
9306;R;UNIDADES DE PRONTO ATENDIMENTO (UPA 24h) E CONJUNTO DE SERVIÇOS DE URGENCIA 24 HORAS;;RUE;UPA;Unidade de Pronto Atendimento;Média/Alta;Sim;Alta;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Descrição contém UPA.;validado;"Classificação preliminar; revisar com base normativa específica."
