"CO_CODIGO_GRUPO";"NO_DESCRICAO_GRUPO";"TP_ORIGEM";"TP_HABILITACAO"
"9201";"PRE NATAL";"";"R"
"9202";"PARTO E NASCIMENTO";"";"R"
"9203";"PUERPERIO E ATENCAO INTEGRAL A SAUDE DA CRIANÇA";"";"R"
"8232";"CEO-II - Rede de Cuidados à Pessoa com Deficiência";"";"I"
"9301";"PROMOÇÃO PREVENÇÃO E VIGILANCIA A SAUDE ";"";"R"
"9302";"ATENÇÃO BASICA EM SAUDE ";"";"R"
"9303";"SERVIÇO DE ATENDIMENTO MOVEL (SAMU) E SUAS CENTRAIS DE REGULAÇÃO MEDICA DE URGENCIAS";"";"R"
"9304";"SALA DE ESTABILIZAÇÃO";"";"R"
"9305";"FORÇA NACIONAL DE SAUDE DO SUS";"";"R"
"9306";"UNIDADES DE PRONTO ATENDIMENTO (UPA 24h) E CONJUNTO DE SERVIÇOS DE URGENCIA 24 HORAS";"";"R"
"9307";"HOSPITALAR";"";"R"
"9308";"ATENÇÃO DOMICILIAR";"";"R"
"9401";"ATENÇÃO BASICA EM SAUDE";"";"R"
"9402";"ATENÇÃO PSICOSSOCIAL ESPECIALIZADA";"";"R"
"9403";"ATENÇÃO DE URGENCIA E EMERGÊNCIA";"";"R"
"9404";"ATENÇÃO RESIDENCIAL DE CARATER TRANSITORIO";"";"R"
"9405";"ATENÇÃO HOSPITALAR";"";"R"
"8231";"CEO-I - Rede de Cuidados à Pessoa com Deficiência";"";"I"
"9406";"REABILITAÇÃO PSICOSSOCIAL";"";"R"
"8233";"CEO-III - Rede de Cuidados à Pessoa com Deficiência";"";"I"
"8234";"Oficina Ortopédica Fixa";"";"I"
"8235";"Oficina Ortopédica Itinerante Terrestre";"";"I"
"8236";"OFICINA ORTOPEDICA ITINERANTE FLUVIAL";"";"I"
"2806";"LEITO COM SUPORTE VENTILATÓRIO PULMONAR - COVID-19";"";"H"
"8256";"QUALIFICACAO UPA 24H NOVA OPCAO I";"";"I"
"0508";"TRATAMENTO DO GLAUCOMA COM MEDICAMENTOS DO COMPONENTE ESPECIALIZADO DA ASSISTENCIA FARMACEUTICA (CEAF)
";"";"H"
"8257";"QUALIFICACAO UPA 24H NOVA OPCAO II";"";"I"
"8258";"QUALIFICACAO UPA 24H NOVA OPCAO IV";"";"I"
"8259";"QUALIFICACAO UPA 24H NOVA OPCAO VI";"";"I"
"8260";"QUALIFICACAO UPA 24H NOVA OPCAO VII";"";"I"
"8261";"UPA 24H AMPLIADA OPCAO I";"";"I"
"8262";"UPA 24H AMPLIADA OPCAO II";"";"I"
"8263";"UPA 24H AMPLIADA OPCAO IV";"";"I"
"8264";"UPA 24H AMPLIADA OPCAO VI";"";"I"
"8265";"UPA 24H AMPLIADA OPCAO VII";"";"I"
"8266";"UPA 24H NOVA OPCAO I";"";"I"
"8267";"UPA 24H NOVA OPCAO II";"";"I"
"8268";"UPA 24H NOVA OPCAO IV";"";"I"
"8269";"UPA 24H NOVA OPCAO VI";"";"I"
"8270";"UPA 24H NOVA OPCAO VII";"";"I"
"0811";"QUALISUS CARDIO NIVEL A";"";"H"
"0812";"QUALISUS CARDIO NIVEL B";"";"H"
"0813";"QUALISUS CARDIO NIVEL C";"";"H"
"0814";"QUALISUS CARDIO NIVEL D";"";"H"
"1722";"TRATAMENTOS INTEGRADOS SINCRONICOS EM ONCOLOGIA";"";"H"
"2608";"UNIDADE DE TERAPIA INTENSIVA CORONARIANA - UCO TIPO II";"";"H"
"0904";"ADESÃO DO ESTADO AO PRO- GRAMA SAÚDENA ESCOLA";"";"S"
"0905";"ENFERMIDADES ONCOLOGICAS";"";"S"
"0906";"ADESÃO DO MUNICIPIO AO PROGRAMA SAÚ-DE NA ESCO- LA-PSE";"";"S"
"8241";"UPA 24H NOVA OPCAO III";"";"I"
"8242";"UPA 24H NOVA OPCAO V";"";"I"
"8243";"UPA 24H NOVA OPCAO VIII";"";"I"
"3601";"SITIO TESTADOR DE ACIDOS NUCLEICOS (SIT-NAT)";"";"H"
"0637";"'CAPS AD IV";"";"H"
"7118";"'ESTABELECIMENTO SEM GERACAO DE CREDITO TOTAL";"";"R"
"4001";"DCEBAS ";"";"D"
"1410";"UNIDADE DE CENTRO DE PARTO NORMAL INTRA-HOSPITALAR TIPO I 3 PPP (CPNI I 3 PPP)";"";"H"
"1411";"UNIDADE DE CENTRO DE PARTO NORMAL INTRA-HOSPITALAR TIPO I 5 PPP (CPNI I 5 PPP)";"";"H"
"1412";"UNIDADE DE CENTRO DE PARTO NORMAL PERI-HOSPITALAR 5PPP";"";"H"
"1413";"ATENCAO HOSPITALAR DE REFERENCIA A GESTACAO DE ALTO RISCO TIPO I (GAR I)";"";"H"
"1414";"ATENCAO HOSPITALAR DE REFERENCIA A GESTACAO DE ALTO RISCO TIPO II (GAR II)";"";"H"
